magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
11.229,K2-221,0.948,,13.343,12.703,,10.852,1.011,0.13,10.884,1.0
8.423,K2-222,1.04,,10.038,9.543,,8.105,0.950,-0.3,8.169,1.0
10.177,K2-223,1.013,,12.132,11.431,,9.835,1.067,0.19,9.946,2.0
11.352,K2-224,0.840,,13.357,12.682,,10.940,0.902,-0.22,11.029,1.0
10.362,K2-225,1.21,,12.265,11.836,,9.954,1.115,0.47,10.046,1.0
10.697,K2-226,0.824,,13.194,12.308,,10.223,0.886,-0.08,10.307,1.0
10.393,K2-227,0.891,,12.674,12.015,,10.005,0.951,-0.1,10.055,1.0
10.978,K2-228,0.699,,14.112,12.995,,10.324,0.742,-0.13,10.439,1.0
9.518,K2-229,0.802,,12.048,10.985,,9.050,0.858,-0.03,9.126,2.0
11.575,K2-230,1.18,,13.298,12.707,,11.257,1.131,0.21,11.322,1.0
11.294,K2-231,0.95,,13.500,12.708,5695,10.859,1.01,0.14,11.004,1.0
11.350,K2-26,0.52,M1.0V,15.97,14.53,3785,10.530,0.56,-0.13,10.762,1.0
,K2-30,0.941,G8,,,5581.0,,0.984,0.136,,1.0
10.528,K2-34,1.526,F9,12.018,11.447,6132.0,10.193,1.281,0.24,10.258,1.0
,K2-39,3.88,,11.915,10.872,4881.0,,1.53,0.32,,1.0
11.110,K2-41,1.040,,12.959,12.914,,10.764,1.068,0.31,10.799,1.0
10.765,K2-58,0.803,,13.317,12.378,,10.215,0.858,0.11,10.314,3.0
,K2-60,1.12,G4V,,,5500.0,,0.97,0.01,,1.0
11.758,K2-61,1.02,,13.689,12.991,,11.385,1.030,0.17,11.423,1.0
10.374,K2-62,0.648,,13.505,12.397,,9.688,0.684,-0.29,9.811,2.0
8.967,K2-65,0.669,,11.595,10.801,,8.344,0.702,-0.34,8.457,1.0
11.139,K2-68,0.702,,13.965,12.977,,10.530,0.751,-0.21,10.651,1.0
11.355,K2-70,0.799,,13.915,12.989,,10.853,0.848,0.06,10.935,1.0
10.695,K2-73,1.05,,12.431,11.345,,10.322,1.043,0.09,10.382,1.0
11.427,K2-74,1.09,,13.139,12.588,,11.068,0.987,-0.21,11.177,1.0
11.564,K2-75,1.24,,13.346,12.701,,11.178,1.174,0.3,11.283,2.0
10.358,K2-79,1.038,,12.893,12.075,,9.907,1.062,0.2,9.998,1.0
10.874,K2-80,0.841,,13.610,12.626,,10.313,0.913,0.07,10.425,3.0
10.229,K2-85,0.647,,13.804,12.831,,9.466,0.678,-0.14,9.613,1.0
11.440,K2-86,0.722,,13.814,13.167,,10.927,0.757,-0.35,11.003,1.0
7.548,K2-96,0.837,,9.767,8.941,,7.066,0.890,-0.01,7.203,2.0
,K2-97,4.2,,,,,,1.16,0.42,,1.0
4.624,Kappa Andromedae,2.109,B9IVn,4.076,4.14,11327,4.571,2.768,0.00,4.595,1.0
3.035,kappa CrB,4.71,K0III-IV,5.81,4.79,4877,2.423,1.51,0.10,2.575,1.0
5.821,Kapteyn,0.291,M1VIp,10.433,8.853,3550.0,5.049,0.281,-0.86,5.316,2.0
9.693,KELT-10,1.209,,11.34,10.62,5948,9.338,1.112,0.09,9.388,1.0
,KELT-11,2.72,G8,,8.04,5370.0,,1.438,0.18,,1.0
,KELT-12,2.37,,,10.59,6278.0,,1.592,0.19,,1.0
10.205,KELT-15,1.481,G0,11.189,11.745,6003,9.854,1.181,0.047,9.919,1.0
,KELT-16,1.36,F7V,,,6236.0,,1.211,-0.002,,1.0
8.745,KELT-17,1.645,,9.553,9.286,7454,8.646,1.635,-0.018,8.697,1.0
,KELT-18,1.908,F4V,10.62,10.16,6670.0,,1.524,0.09,,1.0
7.669,KELT-2A,1.836,F7V,9.33,8.77,6148,7.346,1.314,-0.034,7.417,1.0
,KELT-2B,0.70,K2V,,12.0,485,,0.78,,,0.0
8.963,KELT-3,1.482,F2,10.30,9.82,6304,8.662,1.282,0.047,8.728,1.0
9.017,KELT-4A,1.610,F,10.47,9.98,6206,8.689,1.201,-0.116,8.790,1.0
,KELT-4B,,,,,,,,,,0.0
,KELT-4C,,,,,,,,,,0.0
9.30,KELT-6,1.529,F8,10.81,10.337,6272,9.08,1.126,-0.27,9.137,2.0
7.739,KELT-7,1.732,F2,8.970,8.540,6789,7.543,1.535,0.139,7.580,1.0
9.586,KELT-8,1.67,G2V,11.545,10.833,5754,9.177,1.211,0.272,9.269,1.0
,Kepler-1000,1.51,,,,6453.0,,1.40,0.35,,1.0
,Kepler-1001,0.88,,,,5491.0,,0.90,-0.03,,1.0
,Kepler-1002,1.57,,,,6144.0,,1.22,0.04,,1.0
,Kepler-1003,1.17,,,,6109.0,,1.11,0.01,,1.0
,Kepler-1005,1.06,,,,5782.0,,1.00,0.02,,1.0
,Kepler-1006,0.74,,,,5328.0,,0.78,-0.40,,1.0
,Kepler-1007,0.70,,,,4587.0,,0.73,0.03,,1.0
,Kepler-1008,0.78,,,,5066.0,,0.81,-0.01,,1.0
,Kepler-1009,0.57,,,,4027.0,,0.59,-0.12,,1.0
10.081,Kepler-100,1.49,,11.86,11.06,5825,9.768,1.08,0.02,9.804,3.0
,Kepler-1010,0.82,,,,5253.0,,0.86,-0.01,,1.0
,Kepler-1011,0.88,,,,5416.0,,0.91,0.08,,1.0
,Kepler-1012,0.91,,,,5556.0,,0.95,0.05,,1.0
,Kepler-1013,0.76,,,,4954.0,,0.81,0.04,,1.0
,Kepler-1014,0.84,,,,5388.0,,0.88,-0.06,,1.0
,Kepler-1015,1.81,,,,6769.0,,1.49,0.06,,1.0
,Kepler-1016,1.00,,,,5821.0,,0.99,-0.03,,2.0
,Kepler-1017,0.87,,,,5473.0,,0.93,0.04,,1.0
,Kepler-1018,0.88,,,,5518.0,,0.91,-0.05,,1.0
,Kepler-1019,0.67,,,,4433.0,,0.70,0.01,,1.0
12.40,Kepler-101,1.56,G3IV,14.52,13.80,5667,12.01,1.17,,12.112,2.0
,Kepler-1020,0.80,,,,5227.0,,0.87,0.00,,1.0
,Kepler-1021,0.86,,,,5431.0,,0.89,-0.05,,1.0
,Kepler-1022,0.68,,,,4445.0,,0.71,0.06,,1.0
,Kepler-1023,0.89,,,,5494.0,,0.93,0.05,,1.0
,Kepler-1024,0.78,,,,5143.0,,0.81,-0.10,,1.0
,Kepler-1025,1.13,,,,6089.0,,1.09,-0.03,,1.0
,Kepler-1026,0.75,,,,4948.0,,0.79,-0.02,,1.0
,Kepler-1027,0.82,,,,5436.0,,0.91,-0.06,,1.0
,Kepler-1028,0.87,,,,5522.0,,0.90,-0.09,,1.0
,Kepler-1029,0.77,,,,5030.0,,0.82,0.01,,1.0
9.984,Kepler-102,0.74,,12.58,12.07,4903,9.351,0.80,0.08,9.446,5.0
,Kepler-1030,0.76,,,,4983.0,,0.80,-0.01,,1.0
,Kepler-1031,1.12,,,,6011.0,,1.09,0.03,,1.0
,Kepler-1032,0.71,,,,4647.0,,0.77,0.16,,1.0
,Kepler-1033,0.92,,,,5547.0,,0.94,0.06,,1.0
,Kepler-1034,0.80,,,,5198.0,,0.83,-0.06,,1.0
,Kepler-1035,0.97,,,,5763.0,,0.98,-0.03,,1.0
,Kepler-1036,0.89,,,,5533.0,,0.95,0.04,,1.0
,Kepler-1037,0.78,,,,5105.0,,0.82,-0.03,,1.0
,Kepler-1038,0.83,,,,5335.0,,0.87,-0.04,,1.0
,Kepler-1039,0.74,,,,4870.0,,0.79,0.01,,1.0
11.193,Kepler-103,1.44,,12.68,11.88,5845,10.873,1.09,0.07,10.941,2.0
,Kepler-1040,0.96,,,,5694.0,,0.98,0.01,,1.0
,Kepler-1041,1.08,,,,5957.0,,1.06,0.01,,1.0
,Kepler-1042,0.72,,,,4815.0,,0.75,-0.10,,1.0
,Kepler-1043,0.90,,,,5629.0,,0.92,-0.11,,1.0
,Kepler-1044,1.11,,,,5985.0,,1.08,0.04,,1.0
,Kepler-1045,0.82,,,,5301.0,,0.86,-0.03,,1.0
,Kepler-1046,1.04,,,,5913.0,,1.04,0.00,,1.0
,Kepler-1047,1.13,,,,5754.0,,1.08,0.29,,2.0
,Kepler-1048,0.70,,,,4651.0,,0.75,0.01,,1.0
,Kepler-1049,0.49,,,,3864.0,,0.51,-0.33,,1.0
11.558,Kepler-104,1.349,,,,5711,11.209,0.8070,,11.251,3.0
,Kepler-1050,1.13,,,,6010.0,,1.09,0.03,,2.0
,Kepler-1051,1.73,,,,6675.0,,1.43,0.04,,1.0
,Kepler-1052,1.03,,,,5888.0,,1.03,0.00,,1.0
,Kepler-1053,0.69,,,,4529.0,,0.74,0.10,,1.0
,Kepler-1054,1.34,,,,6209.0,,1.22,0.09,,1.0
,Kepler-1055,0.94,,,,5723.0,,0.98,-0.02,,1.0
,Kepler-1056,1.20,,,,6127.0,,1.12,0.02,,1.0
,Kepler-1057,1.10,,,,5987.0,,1.07,0.01,,1.0
,Kepler-1058,0.69,,,,4644.0,,0.73,-0.06,,1.0
,Kepler-1059,0.72,,,,4906.0,,0.75,-0.15,,1.0
11.811,Kepler-105,1.160,,,,5873,11.503,1.1800,,11.555,3.0
,Kepler-1060,0.99,,,,5797.0,,0.99,-0.03,,1.0
,Kepler-1061,1.07,,,,6067.0,,1.09,-0.03,,1.0
,Kepler-1062,0.70,,,,4597.0,,0.75,0.11,,1.0
,Kepler-1063,1.14,,,,5945.0,,1.09,0.09,,1.0
,Kepler-1064,0.79,,,,5153.0,,0.85,0.00,,1.0
,Kepler-1065,0.93,,,,5635.0,,0.94,-0.01,,2.0
,Kepler-1066,0.98,,,,5762.0,,0.98,-0.03,,1.0
,Kepler-1067,0.93,,,,5592.0,,0.95,0.03,,1.0
,Kepler-1068,1.01,,,,5806.0,,1.01,0.03,,1.0
,Kepler-1069,0.98,,,,5722.0,,0.99,0.04,,1.0
11.752,Kepler-106,1.04,,13.68,12.98,5858,11.431,1.00,-0.12,11.494,4.0
,Kepler-1070,1.32,,,,6261.0,,1.21,0.03,,1.0
,Kepler-1071,0.81,,,,5215.0,,0.86,0.01,,1.0
,Kepler-1072,1.32,,,,6199.0,,1.20,0.07,,1.0
,Kepler-1073,1.00,,,,5792.0,,1.00,0.00,,2.0
,Kepler-1074,0.57,,,,4002.0,,0.60,-0.06,,1.0
,Kepler-1075,0.54,,,,3959.0,,0.56,-0.17,,1.0
,Kepler-1076,0.74,,,,4868.0,,0.79,-0.01,,1.0
,Kepler-1077,1.02,,,,5816.0,,1.02,0.03,,1.0
,Kepler-1078,0.92,,,,5612.0,,0.94,-0.01,,1.0
,Kepler-1079,1.36,,,,5758.0,,1.08,0.21,,1.0
11.392,Kepler-107,1.411,,,,5851,11.060,1.1830,0.27,11.114,4.0
,Kepler-1080,1.16,,,,5956.0,,1.10,0.09,,1.0
,Kepler-1081,0.84,,,,5345.0,,0.88,0.01,,1.0
,Kepler-1082,1.14,,,,5923.0,,1.03,-0.06,,1.0
,Kepler-1083,0.77,,,,5049.0,,0.81,-0.02,,1.0
,Kepler-1084,1.28,,,,6113.0,,1.12,-0.02,,1.0
,Kepler-1085,1.14,,,,6000.0,,1.11,0.08,,1.0
,Kepler-1086,0.66,,,,4350.0,,0.70,0.06,,2.0
,Kepler-1087,0.94,,,,5589.0,,0.96,0.01,,1.0
,Kepler-1088,1.08,,,,5975.0,,1.08,0.05,,1.0
,Kepler-1089,0.49,,,,3753.0,,0.52,-0.09,,1.0
12.087,Kepler-108 A,1.45,,,,,11.640,1.26,,,0.0
12.287,Kepler-108 B,0.97,,,,,11.840,0.96,,,2.0
,Kepler-1090,0.82,,,,5321.0,,0.86,-0.04,,1.0
,Kepler-1091,1.03,,,,5851.0,,1.01,0.00,,1.0
,Kepler-1092,1.00,,,,5862.0,,0.99,-0.09,,1.0
,Kepler-1093,1.20,,,,6166.0,,1.13,-0.01,,2.0
,Kepler-1094,1.21,,,,6112.0,,1.14,0.06,,1.0
,Kepler-1095,0.92,,,,5658.0,,0.94,-0.09,,1.0
,Kepler-1096,0.63,,,,4306.0,,0.66,-0.10,,1.0
,Kepler-1097,0.79,,,,5211.0,,0.82,-0.11,,1.0
,Kepler-1098,0.99,,,,5794.0,,0.99,-0.02,,1.0
,Kepler-1099,1.00,,,,5837.0,,1.01,-0.02,,1.0
11.314,Kepler-109,1.32,,12.82,12.93,5952,11.001,1.04,-0.08,11.046,2.0
9.889,Kepler-10,1.065,G,,10.96,5643,9.496,0.91,-0.15,9.563,3.0
,Kepler-1100,1.34,,,,6247.0,,1.21,0.05,,1.0
,Kepler-1101,0.91,,,,5614.0,,0.94,-0.04,,1.0
,Kepler-1102,0.94,,,,5724.0,,0.96,-0.08,,1.0
,Kepler-1103,1.15,,,,6092.0,,1.11,-0.01,,1.0
,Kepler-1104,1.41,,,,6417.0,,1.30,0.13,,1.0
,Kepler-1105,0.68,,,,4299.0,,0.71,0.28,,1.0
,Kepler-1106,1.17,,,,6104.0,,1.11,0.00,,1.0
,Kepler-1107,0.82,,,,5268.0,,0.86,0.01,,1.0
,Kepler-1108,0.84,,,,5406.0,,0.88,-0.09,,1.0
,Kepler-1109,1.06,,,,5893.0,,1.05,0.04,,1.0
11.919,Kepler-110,1.149,,,,5960,11.623,1.0670,,11.658,2.0
,Kepler-1110,0.70,,,,4781.0,,0.73,-0.16,,1.0
,Kepler-1111,1.15,,,,6077.0,,1.10,0.02,,1.0
,Kepler-1112,1.54,,,,6496.0,,1.34,0.04,,1.0
,Kepler-1113,1.17,,,,5931.0,,1.12,0.18,,1.0
,Kepler-1114,0.83,,,,5374.0,,0.87,-0.08,,1.0
,Kepler-1115,1.73,,,,8480.0,,1.60,-0.51,,1.0
,Kepler-1116,0.93,,,,5641.0,,0.95,0.01,,1.0
,Kepler-1117,0.93,,,,5612.0,,0.95,0.03,,1.0
,Kepler-1118,0.97,,,,5688.0,,0.96,0.00,,1.0
,Kepler-1119,1.17,,,,6083.0,,1.11,0.03,,1.0
12.412,Kepler-111,1.157,,,,5952,12.110,1.1710,,12.111,2.0
,Kepler-1120,0.74,,,,4904.0,,0.78,-0.04,,1.0
,Kepler-1121,1.59,,,,6231.0,,1.29,0.12,,1.0
,Kepler-1122,0.89,,,,5544.0,,0.92,-0.03,,1.0
,Kepler-1123,0.90,,,,5500.0,,0.93,0.05,,1.0
,Kepler-1124,0.34,,,,3658.0,,0.35,-0.59,,1.0
,Kepler-1125,0.94,,,,5683.0,,0.95,-0.09,,1.0
,Kepler-1126,0.93,,,,5798.0,,0.92,-0.26,,1.0
,Kepler-1127,0.95,,,,5664.0,,0.97,0.04,,1.0
,Kepler-1128,0.91,,,,5543.0,,0.94,0.04,,1.0
,Kepler-1129,1.00,,,,5831.0,,1.00,-0.04,,2.0
12.583,Kepler-112,0.841,,,,5544,12.155,0.9460,,12.226,2.0
,Kepler-1130,0.81,,,,5403.0,,0.90,-0.06,,1.0
,Kepler-1131,1.04,,,,5851.0,,1.03,0.05,,1.0
,Kepler-1132,0.83,,,,5298.0,,0.87,-0.01,,1.0
,Kepler-1133,0.90,,,,5569.0,,0.93,-0.02,,1.0
,Kepler-1134,0.81,,,,5281.0,,0.84,-0.10,,1.0
,Kepler-1135,0.94,,,,5656.0,,0.96,0.02,,1.0
,Kepler-1136,0.68,,,,4512.0,,0.72,0.03,,1.0
,Kepler-1137,1.84,,,,6807.0,,1.50,0.05,,1.0
,Kepler-1138,0.92,,,,5582.0,,0.95,0.04,,1.0
,Kepler-1139,0.91,,,,5550.0,,0.94,0.05,,1.0
11.886,Kepler-113,0.69,,,,4725,11.255,0.75,0.05,11.36,2.0
,Kepler-1140,0.73,,,,4850.0,,0.76,-0.08,,1.0
,Kepler-1141,1.07,,,,5791.0,,1.01,0.04,,1.0
,Kepler-1142,0.96,,,,5685.0,,0.97,0.02,,1.0
,Kepler-1143,0.77,,,,5053.0,,0.81,-0.06,,2.0
,Kepler-1144,0.96,,,,5753.0,,0.98,-0.03,,1.0
,Kepler-1145,0.75,,,,5064.0,,0.79,-0.13,,1.0
,Kepler-1146,0.70,,,,4692.0,,0.74,-0.06,,1.0
,Kepler-1147,1.14,,,,5941.0,,1.09,0.11,,1.0
,Kepler-1148,0.77,,,,5054.0,,0.81,-0.02,,1.0
,Kepler-1149,1.01,,,,5833.0,,1.02,0.02,,1.0
12.035,Kepler-114,0.667,,,,4605,11.366,0.7090,,11.469,3.0
,Kepler-1150,0.72,,,,4754.0,,0.76,0.01,,1.0
,Kepler-1151,0.85,,,,5470.0,,0.88,-0.11,,1.0
,Kepler-1152,0.53,,,,3964.0,,0.55,-0.25,,1.0
,Kepler-1153,0.88,,,,5470.0,,0.91,0.03,,1.0
,Kepler-1154,1.43,,,,6327.0,,1.26,0.04,,2.0
,Kepler-1155,1.03,,,,5842.0,,1.03,0.04,,1.0
,Kepler-1156,1.00,,,,5778.0,,1.00,0.02,,1.0
,Kepler-1157,0.71,,,,4679.0,,0.76,0.05,,1.0
,Kepler-1158,1.95,,,,6203.0,,1.41,0.18,,1.0
,Kepler-1159,1.28,,,,6217.0,,1.19,0.04,,1.0
12.315,Kepler-115,1.205,,,,5979,11.970,1.0400,,12.028,2.0
,Kepler-1160,0.89,,,,5519.0,,0.92,0.01,,1.0
,Kepler-1161,0.57,,,,4253.0,,0.59,-0.35,,1.0
,Kepler-1162,0.84,,,,5390.0,,0.89,-0.03,,1.0
,Kepler-1163,1.35,,,,6302.0,,1.22,0.02,,1.0
,Kepler-1164,0.79,,,,5183.0,,0.85,-0.03,,1.0
,Kepler-1165,1.18,,,,6080.0,,1.13,0.05,,1.0
,Kepler-1166,0.86,,,,5446.0,,0.90,-0.02,,1.0
,Kepler-1167,0.75,,,,4971.0,,0.79,-0.05,,1.0
,Kepler-1168,0.82,,,,5157.0,,0.87,0.13,,1.0
,Kepler-1169,1.23,,,,6191.0,,1.24,0.26,,1.0
12.703,Kepler-116,1.454,,,,6142,12.383,1.2060,,12.486,2.0
,Kepler-1170,0.76,,,,5069.0,,0.80,-0.09,,1.0
,Kepler-1171,1.95,,,,7044.0,,1.58,-0.01,,1.0
,Kepler-1172,0.89,,,,5558.0,,0.92,-0.04,,1.0
,Kepler-1173,0.82,,,,5252.0,,0.86,0.00,,1.0
,Kepler-1174,1.04,,,,5936.0,,1.04,-0.04,,1.0
,Kepler-1175,0.86,,,,5453.0,,0.90,-0.04,,1.0
,Kepler-1176,1.02,,,,5844.0,,1.01,-0.01,,1.0
,Kepler-1177,0.97,,,,5712.0,,0.98,0.02,,1.0
,Kepler-1178,0.75,,,,4990.0,,0.80,-0.05,,1.0
,Kepler-1179,0.81,,,,5212.0,,0.84,-0.03,,1.0
13.324,Kepler-117,1.606,,14.93,14.29,6150,13.01,1.129,-0.04,12.99,2.0
,Kepler-1180,1.14,,,,6077.0,,1.09,0.00,,1.0
,Kepler-1181,1.30,,,,6176.0,,1.17,0.03,,1.0
,Kepler-1182,1.05,,,,5924.0,,1.04,0.01,,1.0
,Kepler-1183,0.99,,,,5765.0,,1.00,0.04,,1.0
,Kepler-1184,1.07,,,,5983.0,,1.05,-0.04,,1.0
,Kepler-1185,0.87,,,,5622.0,,0.96,-0.04,,1.0
,Kepler-1186,0.93,,,,5635.0,,0.95,0.00,,1.0
,Kepler-1187,1.09,,,,5975.0,,1.06,-0.01,,1.0
,Kepler-1188,1.06,,,,5913.0,,1.04,0.00,,1.0
,Kepler-1189,1.16,,,,6012.0,,1.11,0.08,,1.0
13.250,Kepler-118,1.094,,,,5274,12.711,0.7700,,12.769,2.0
,Kepler-1190,0.72,,,,4730.0,,0.76,-0.02,,1.0
,Kepler-1191,0.81,,,,5308.0,,0.85,-0.08,,1.0
,Kepler-1192,0.83,,,,5438.0,,0.86,-0.16,,1.0
,Kepler-1193,1.21,,,,5908.0,,1.08,0.12,,1.0
,Kepler-1194,0.92,,,,5590.0,,0.94,0.00,,1.0
,Kepler-1195,0.71,,,,4965.0,,0.74,-0.25,,1.0
,Kepler-1196,0.97,,,,5756.0,,0.98,0.00,,1.0
,Kepler-1197,0.72,,,,4708.0,,0.78,0.06,,1.0
,Kepler-1198,0.90,,,,5517.0,,0.93,0.03,,1.0
,Kepler-1199,1.17,,,,5889.0,,0.94,-0.27,,1.0
12.997,Kepler-119,0.839,,,,5595,12.580,0.9180,,12.636,2.0
12.548,Kepler-11,1.053,G,,13.7,5663,12.180,0.961,,12.237,6.0
,Kepler-1200,0.70,,,,4612.0,,0.74,0.04,,1.0
,Kepler-1201,1.24,,,,6177.0,,1.15,0.03,,1.0
,Kepler-1202,1.04,,,,5834.0,,1.03,0.06,,1.0
,Kepler-1203,0.61,,,,4105.0,,0.64,0.01,,1.0
,Kepler-1204,1.03,,,,5825.0,,1.03,0.06,,1.0
,Kepler-1205,0.81,,,,5226.0,,0.84,-0.04,,1.0
,Kepler-1206,0.75,,,,4877.0,,0.80,0.07,,1.0
,Kepler-1207,1.06,,,,5909.0,,1.06,0.05,,1.0
,Kepler-1208,0.76,,,,5001.0,,0.80,-0.03,,1.0
,Kepler-1209,1.38,,,,6210.0,,1.23,0.12,,1.0
13.019,Kepler-120,0.534,,,,4096,12.307,0.6540,,12.418,2.0
,Kepler-1210,0.92,,,,5568.0,,0.94,0.04,,1.0
,Kepler-1211,0.94,,,,5705.0,,0.96,-0.08,,1.0
,Kepler-1212,1.15,,,,6051.0,,1.10,0.03,,1.0
,Kepler-1213,1.21,,,,6050.0,,1.14,0.13,,1.0
,Kepler-1214,0.80,,,,5130.0,,0.85,0.05,,1.0
,Kepler-1215,0.93,,,,5616.0,,0.95,0.01,,1.0
,Kepler-1216,0.98,,,,5743.0,,0.99,0.03,,1.0
,Kepler-1217,1.08,,,,5905.0,,1.06,0.07,,1.0
,Kepler-1218,1.10,,,,5986.0,,1.06,-0.02,,1.0
,Kepler-1219,1.94,,,,5944.0,,1.25,0.05,,1.0
13.320,Kepler-121,0.701,,,,5311,12.796,0.8590,,12.886,2.0
,Kepler-1220,0.99,,,,5842.0,,1.00,-0.04,,1.0
,Kepler-1221,0.82,,,,5194.0,,0.87,0.09,,1.0
,Kepler-1222,0.80,,,,5239.0,,0.84,-0.04,,1.0
,Kepler-1223,0.75,,,,4870.0,,0.80,0.04,,1.0
,Kepler-1224,1.22,,,,6155.0,,1.18,0.14,,1.0
,Kepler-1225,1.19,,,,6140.0,,1.13,0.01,,1.0
,Kepler-1226,1.02,,,,5923.0,,1.02,-0.08,,1.0
,Kepler-1227,0.95,,,,5747.0,,0.97,-0.04,,1.0
,Kepler-1228,0.74,,,,5063.0,,0.78,-0.18,,1.0
,Kepler-1229,0.51,,,,3784.0,,0.54,-0.06,,1.0
13.173,Kepler-122,1.216,,,,6050,12.826,1.0700,,12.887,5.0
,Kepler-1230,1.08,,,,5961.0,,1.06,0.01,,1.0
,Kepler-1231,1.00,,,,5778.0,,1.01,0.06,,1.0
,Kepler-1232,0.89,,,,5471.0,,0.92,0.06,,1.0
,Kepler-1233,1.25,,,,6198.0,,1.16,0.02,,1.0
,Kepler-1234,0.76,,,,4967.0,,0.80,0.01,,1.0
,Kepler-1235,0.90,,,,5541.0,,0.93,0.01,,1.0
,Kepler-1236,0.82,,,,5337.0,,0.86,-0.09,,1.0
,Kepler-1237,0.90,,,,5472.0,,0.94,0.12,,1.0
,Kepler-1238,1.48,,,,6386.0,,1.30,0.05,,1.0
,Kepler-1239,1.57,,,,6564.0,,1.40,0.22,,1.0
12.982,Kepler-123,1.264,,,,6089,12.655,,,12.725,2.0
,Kepler-1240,0.96,,,,5682.0,,0.98,0.04,,1.0
,Kepler-1241,0.80,,,,5261.0,,0.84,-0.09,,1.0
,Kepler-1242,0.74,,,,4895.0,,0.77,-0.05,,1.0
,Kepler-1243,0.94,,,,5667.0,,0.96,0.01,,1.0
,Kepler-1244,1.77,,,,6680.0,,1.46,0.05,,1.0
,Kepler-1245,0.83,,,,5306.0,,0.86,-0.01,,2.0
,Kepler-1246,0.69,,,,4611.0,,0.73,-0.03,,1.0
,Kepler-1247,0.82,,,,5303.0,,0.86,-0.05,,1.0
,Kepler-1248,1.21,,,,6149.0,,1.21,0.24,,1.0
,Kepler-1249,1.28,,,,6202.0,,1.19,0.06,,1.0
12.780,Kepler-124,0.636,,,,4984,12.233,0.8410,,12.314,3.0
,Kepler-1250,0.98,,,,5717.0,,0.99,0.04,,1.0
,Kepler-1251,0.89,,,,5545.0,,0.92,-0.04,,1.0
,Kepler-1252,1.09,,,,5949.0,,1.06,0.03,,1.0
,Kepler-1253,1.10,,,,5850.0,,0.97,-0.14,,1.0
,Kepler-1254,0.75,,,,4985.0,,0.78,-0.10,,3.0
,Kepler-1255,1.12,,,,6018.0,,1.08,0.02,,1.0
,Kepler-1256,1.36,,,,6129.0,,1.17,0.05,,1.0
,Kepler-1257,0.87,,,,5502.0,,0.90,-0.09,,1.0
,Kepler-1258,0.99,,,,5839.0,,0.99,-0.07,,1.0
,Kepler-1259,0.77,,,,5053.0,,0.80,-0.07,,1.0
12.484,Kepler-125,0.512,,,,3810,11.682,0.5370,,11.869,2.0
,Kepler-1260,1.08,,,,5961.0,,1.06,0.01,,1.0
,Kepler-1261,0.77,,,,5006.0,,0.82,0.03,,1.0
,Kepler-1262,0.98,,,,5771.0,,0.99,-0.02,,1.0
,Kepler-1263,0.80,,,,5213.0,,0.84,-0.03,,1.0
,Kepler-1264,0.98,,,,5791.0,,0.99,-0.02,,1.0
,Kepler-1265,0.69,,,,4630.0,,0.71,-0.10,,1.0
,Kepler-1266,0.76,,,,5044.0,,0.80,-0.07,,1.0
,Kepler-1267,1.20,,,,6096.0,,1.15,0.07,,1.0
,Kepler-1268,1.09,,,,5904.0,,1.06,0.05,,1.0
,Kepler-1269,1.15,,,,5998.0,,1.10,0.07,,1.0
9.616,Kepler-126,1.358,,10.93,10.51,6239,9.344,1.1100,,9.407,3.0
,Kepler-1270,3.38,,,,5047.0,,1.28,-0.02,,1.0
,Kepler-1271,1.23,,,,6143.0,,1.13,-0.01,,1.0
,Kepler-1272,1.09,,,,5926.0,,1.06,0.06,,1.0
,Kepler-1273,0.91,,,,5566.0,,0.94,0.03,,1.0
,Kepler-1274,2.17,,,,6179.0,,1.45,0.11,,1.0
,Kepler-1275,1.36,,,,6296.0,,1.23,0.04,,1.0
,Kepler-1276,1.21,,,,6188.0,,1.14,-0.02,,1.0
,Kepler-1277,0.92,,,,5578.0,,0.94,-0.01,,1.0
,Kepler-1278,1.16,,,,6074.0,,1.11,0.02,,1.0
,Kepler-1279,1.33,,,,6221.0,,1.21,0.06,,1.0
10.536,Kepler-127,1.359,,12.07,11.75,6106,10.234,1.2690,,10.300,3.0
,Kepler-1280,1.32,,,,6227.0,,1.20,0.04,,1.0
,Kepler-1281,0.83,,,,5353.0,,0.87,-0.04,,1.0
,Kepler-1282,0.89,,,,5504.0,,0.92,0.01,,1.0
,Kepler-1283,1.25,,,,6175.0,,1.16,0.04,,1.0
,Kepler-1284,0.79,,,,5123.0,,0.84,0.03,,1.0
,Kepler-1285,1.28,,,,6170.0,,1.20,0.16,,1.0
,Kepler-1286,0.98,,,,5753.0,,1.00,0.03,,1.0
,Kepler-1287,0.94,,,,5715.0,,0.96,-0.05,,1.0
,Kepler-1288,1.29,,,,6132.0,,1.20,0.14,,1.0
,Kepler-1289,1.17,,,,6080.0,,1.10,0.02,,1.0
10.373,Kepler-128,1.55,,12.06,11.69,6090.00,10.109,1.17,,10.094,2.0
,Kepler-1290,0.93,,,,5660.0,,0.95,-0.02,,1.0
,Kepler-1291,0.80,,,,5216.0,,0.84,-0.04,,1.0
,Kepler-1292,0.93,,,,5556.0,,0.95,0.08,,1.0
,Kepler-1293,1.28,,,,6241.0,,1.18,0.00,,1.0
,Kepler-1294,0.97,,,,5776.0,,0.99,-0.03,,1.0
