period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
57.011,Kepler-46 c,0.015,,transit,,14/03/06,0.27990,0.376,,Confirmed planets,2012
6.766589,Kepler-46 d,,"Kepler-46 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-46 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/03/06,0.06700,,,Confirmed planets,2014
24.669195690,Kepler-470 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.014234570,Kepler-471 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.176255510,Kepler-472 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
14.557317050,Kepler-473 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.660672940,Kepler-474 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.105508190,Kepler-475 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
14.006406070,Kepler-476 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
11.119906530,Kepler-477 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
13.221757600,Kepler-478 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
12.493413070,Kepler-479 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
49.514,Kepler-47 (AB) b,,"Kepler-47(AB) is a multiplanetary system orbiting a binary star. This is the first system of its kind. One of the binary stars is a Sun-like star, the other one is roughly one-third the size of the Sun. The orbital period of the binary is 7.45 days.",transit,,12/08/28,0.2956,,,Confirmed planets,2012
303.158,Kepler-47 (AB) c,,"Kepler-47(AB) is a multiplanetary system orbiting a binary star. This is the first system of its kind. One of the binary stars is a Sun-like star, the other one is roughly one-third the size of the Sun. The orbital period of the binary is 7.45 days. The outer planet Kepler-47(AB) c is located in the habitable zone where liquid water could exist.",transit,,12/08/28,0.989,,,Confirmed planets,2012
4.919583800,Kepler-480 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
10.060825670,Kepler-481 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
56.354185760,Kepler-482 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
30.229104000,Kepler-483 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
10.045569310,Kepler-484 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.243259800,Kepler-485 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
30.360446670,Kepler-486 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
15.358768400,Kepler-487 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
38.651997600,Kepler-487 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.120829230,Kepler-488 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
17.276296120,Kepler-489 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.7779803,Kepler-48 b,,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 4.78 days for 2.8412 hours. Periodic transit timing variations confirm its planetary nature.,transit,,12/08/19,,0.015079,,Confirmed planets,2012
9.6739283,Kepler-48 c,,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 9.67 days for 3.5027 hours. Periodic transit timing variations confirm its planetary nature.,transit,,12/08/19,,0.033219,,Confirmed planets,2012
42.8961,Kepler-48 d,,This planet has been discovered by the Kepler spacecraft. It was confirmed using a combination of high resolution imaging and spectroscopy and Doppler spectroscopy. This analysis pushes the false probability below 1 percent and puts contraints on the planet's size and mass.,transit,,14/02/24,,0.024945,,Confirmed planets,2014
982,Kepler-48 e,,"This planet has been discovered during a radial velocity follow up of stars observed by Kepler which host planet candidates. Although other planets in this system are transiting, this one is not.",RV,,14/02/24,,2.066725,,Confirmed planets,2014
3.268695150,Kepler-490 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
11.720122660,Kepler-492 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.003876580,Kepler-493 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.025118210,Kepler-494 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.413036220,Kepler-495 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.308649370,Kepler-496 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.573203670,Kepler-497 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
9.613753560,Kepler-498 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.632528450,Kepler-499 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.203871,Kepler-49 b,,"Kepler-49 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
10.912732,Kepler-49 c,,"Kepler-49 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
2.576549,Kepler-49 d,,"Kepler-49 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
18.596108,Kepler-49 e,,"Kepler-49 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-49 e are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
3.21346,Kepler-4 b,0.0,,transit,,10/01/06,0.0456,0.077,,Confirmed planets,2010
8.508324400,Kepler-500 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.640677570,Kepler-501 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.286864310,Kepler-502 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.2584481,Kepler-503 b,0.025,This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Subsequent radial velocity analysis combined with the Gaia parallax revealed that the host star is a subgiant and the companion is at the hydrogen-burning limit.,transit,,18/08/16,0.0786,79,33,Retracted planet candidate,2016
9.549275420,Kepler-504 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
27.521979940,Kepler-505 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
6.883405500,Kepler-506 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.568096930,Kepler-507 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
25.308897480,Kepler-508 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
41.746003920,Kepler-509 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.81254,Kepler-50 b,,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 7.81 days for 4.2439 hours. Periodic transit timing variations confirm its planetary nature.,transit,,13/02/17,0.077,0.015963,,Confirmed planets,2012
9.37647,Kepler-50 c,,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 9.38 days for 2.6022 hours. Periodic transit timing variations confirm its planetary nature.,transit,,13/02/17,0.087,0.026041,,Confirmed planets,2012
19.556594180,Kepler-510 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
296.637865000,Kepler-511 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
34.435879750,Kepler-512 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
28.862355840,Kepler-513 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.651796050,Kepler-514 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
19.963713180,Kepler-515 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
24.854624150,Kepler-516 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
60.928322710,Kepler-517 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.512035880,Kepler-518 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
24.307894600,Kepler-519 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
45.1540,Kepler-51 b,0.04,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 45.16 days for 5.7799 hours. Periodic transit timing variations confirm its planetary nature and indicate that it has a very low density.,transit,,15/12/12,0.2514,0.0066,,Confirmed planets,2012
85.312,Kepler-51 c,0.014,This planet candidate was discovered by the Kepler spacecraft. It transits its host star every 85.31 days for 2.7849 hours. Periodic transit timing variations confirm its planetary nature and indicate that it has a very low density.,transit,,15/12/12,0.384,0.0126,,Confirmed planets,2012
130.194,Kepler-51 d,,"Kepler-51 d has been discovered by the Kepler spacecraft. Its mass has been determined by analysis of transit timing variations, indicating that it is a very low density planet.",transit,,15/12/12,0.509,0.0239,,Confirmed planets,2014
19.674161240,Kepler-520 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.211042610,Kepler-520 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
22.208132140,Kepler-521 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
38.584228490,Kepler-522 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.835983110,Kepler-523 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
7.974198070,Kepler-524 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.888979060,Kepler-524 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
18.684049330,Kepler-525 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.458498320,Kepler-526 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
13.285356330,Kepler-527 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
19.782974150,Kepler-528 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.980357660,Kepler-529 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
12.834502200,Kepler-529 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
16.384888,Kepler-52 c,,"Kepler-52 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-52 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
7.877407,Kepler-52 b,,"Kepler-52 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-52 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
36.445171,Kepler-52 d,,"Kepler-52 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-52 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
39.309419040,Kepler-530 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
29.884857410,Kepler-531 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
12.924916230,Kepler-532 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
28.511205250,Kepler-533 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
15.959945130,Kepler-534 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.903321550,Kepler-535 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.827082300,Kepler-536 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.247555220,Kepler-537 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
81.737806990,Kepler-538 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
18.649113,Kepler-53 b,,"Kepler-53 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-53 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
9.751962,Kepler-53 d,,"Kepler-53 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-53 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
38.558585,Kepler-53 c,,"Kepler-53 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-53 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
172.704978400,Kepler-540 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.080058480,Kepler-541 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
13.144975660,Kepler-542 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
13.899619660,Kepler-543 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
21.416169260,Kepler-544 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
13.249340590,Kepler-545 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.147020260,Kepler-546 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
6.010384290,Kepler-547 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.454194340,Kepler-548 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
42.949564900,Kepler-549 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
117.040498000,Kepler-549 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
8.010260,Kepler-54 b,,"Kepler-54 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-54 b are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
12.072389,Kepler-54 c,,"Kepler-54 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-54 c are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
20.995694,Kepler-54 d,,"Kepler-54 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-54 d are still unknown, the object is highly unlikely to be a false positive.",transit,,14/02/26,,,,Confirmed planets,2014
8.600104110,Kepler-550 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
12.376466100,Kepler-551 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
5.263415770,Kepler-552 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
4.030468040,Kepler-553 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
328.239954600,Kepler-553 c,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
1.902208560,Kepler-554 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
16.217754070,Kepler-555 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
11.722921760,Kepler-556 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
3.705989550,Kepler-557 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
29.007905380,Kepler-558 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
17.587523330,Kepler-559 b,,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",transit,,16/05/10,,,,Confirmed planets,2016
