mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
0.43,KOI-127 b is a transiting Saturn-mass planet in a 3.6 day orbit. It was found in the publicly available Kepler photometry from quarters 1-13 and has been confirmed independently with ground based spectroscopy. The planet has one of the lowest albedos of all known gas giants (less than 0.087).,,0.04501,2013,Confirmed planets,,3.5787087,transit,14/04/03,,Kepler-77 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.677375160,transit,16/05/10,,Kepler-780 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.214073200,transit,16/05/10,,Kepler-781 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,158.685330800,transit,16/05/10,,Kepler-782 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.292646380,transit,16/05/10,,Kepler-783 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,31.592264600,transit,16/05/10,,Kepler-784 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.973760930,transit,16/05/10,,Kepler-785 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,53.529348700,transit,16/05/10,,Kepler-786 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.928310500,transit,16/05/10,,Kepler-787 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.398462690,transit,16/05/10,,Kepler-788 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.638477250,transit,16/05/10,,Kepler-789 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.734698070,transit,16/05/10,,Kepler-790 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.553975900,transit,16/05/10,,Kepler-791 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.301192170,transit,16/05/10,,Kepler-792 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.241536390,transit,16/05/10,,Kepler-793 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.131251320,transit,16/05/10,,Kepler-794 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,29.619342100,transit,16/05/10,,Kepler-795 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.400876180,transit,16/05/10,,Kepler-796 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,27.072377110,transit,16/05/10,,Kepler-797 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.719333690,transit,16/05/10,,Kepler-798 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,133.460523500,transit,16/05/10,,Kepler-799 b
,"Kepler-79 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-79 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,52.090590,transit,14/02/26,,Kepler-79 d
,"Kepler-79 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-79 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,27.401994,transit,14/02/26,,Kepler-79 c
,"Kepler-79 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-79 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,13.484686,transit,14/02/26,,Kepler-79 b
,"Kepler-79 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-79 e are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,81.065298,transit,14/02/26,,Kepler-79 e
0.44,,,0.06246,2010,Confirmed planets,0.1,4.885525,transit,15/12/03,,Kepler-7 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.131760260,transit,16/05/10,,Kepler-800 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.419282530,transit,16/05/10,,Kepler-801 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,40.058747300,transit,16/05/10,,Kepler-802 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,50.286381920,transit,16/05/10,,Kepler-803 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,14.374573510,transit,16/05/10,,Kepler-804 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,9.651850170,transit,16/05/10,,Kepler-804 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,30.863893100,transit,16/05/10,,Kepler-805 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.092196420,transit,16/05/10,,Kepler-806 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,117.931087810,transit,16/05/10,,Kepler-807 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.631332350,transit,16/05/10,,Kepler-808 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,55.639340000,transit,16/05/10,,Kepler-809 b
0.02180,"Kepler-80 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-80 b are still unknown, the object is highly unlikely to be a false positive.",,0.0648,2014,Confirmed planets,,7.05246,transit,17/12/15,,Kepler-80 b
0.02121,"Kepler-80 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-80 c are still unknown, the object is highly unlikely to be a false positive.",,0.0792,2014,Confirmed planets,,9.52355,transit,17/12/15,,Kepler-80 c
0.02124,"Kepler-80 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-80 d are still unknown, the object is highly unlikely to be a false positive.",,0.0372,2014,Confirmed planets,,3.07222,transit,17/12/15,,Kepler-80 d
0.01299,"Kepler-80 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-80 e are still unknown, the object is highly unlikely to be a false positive.",,0.0491,2014,Confirmed planets,,4.64489,transit,17/12/15,,Kepler-80 e
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,0.0175,2016,Confirmed planets,,0.9867873,transit,17/12/15,,Kepler-80 f
,The planet Kepler-80 g was identified using machine learning. The Kepler-80 system contains a five-planet resonant chain.,,,2017,Confirmed planets,,14.64558,transit,17/12/15,,Kepler-80 g
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.597253850,transit,16/05/10,,Kepler-810 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,23.584476970,transit,16/05/10,,Kepler-811 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.117165310,transit,16/05/10,,Kepler-812 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,19.129473370,transit,16/05/10,,Kepler-813 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.146985100,transit,16/05/10,,Kepler-814 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.575035520,transit,16/05/10,,Kepler-815 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.506825650,transit,16/05/10,,Kepler-816 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.990106230,transit,16/05/10,,Kepler-817 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,10.035385810,transit,16/05/10,,Kepler-818 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,33.199564800,transit,16/05/10,,Kepler-819 b
,"Kepler-81 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-81 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.954880,transit,14/02/26,,Kepler-81 b
,"Kepler-81 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-81 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,12.039956,transit,14/02/26,,Kepler-81 c
,"Kepler-81 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-81 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.837846,transit,14/02/26,,Kepler-81 d
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,127.833809800,transit,16/05/10,,Kepler-820 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.922798730,transit,16/05/10,,Kepler-821 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.222969270,transit,16/05/10,,Kepler-822 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.168090820,transit,16/05/10,,Kepler-823 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.514366330,transit,16/05/10,,Kepler-824 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.773600590,transit,16/05/10,,Kepler-825 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.181824600,transit,16/05/10,,Kepler-825 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,4.487589070,transit,16/05/10,,Kepler-826 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,51.929275910,transit,16/05/10,,Kepler-827 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.567857140,transit,16/05/10,,Kepler-828 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.883375620,transit,16/05/10,,Kepler-829 b
0.03823,This planet was discovered by Xie 2013. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Freudenthal et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.168300,2012,Confirmed planets,0.003300,26.44000000,transit,19/07/25,236.0000,Kepler-82 b
0.04373,This planet was discovered by Xie 2013. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Freudenthal et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.262600,2012,Confirmed planets,0.007000,51.54000000,transit,19/07/25,162.0000,Kepler-82 c
,This planet was discovered by Rowe et al. 2014. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rowe et al. 2014 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.034000,2014,Confirmed planets,,2.38296100,transit,14/05/14,,Kepler-82 d
,This planet was discovered by Rowe et al. 2014. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Rowe et al. 2014 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.063000,2014,Confirmed planets,,5.90220600,transit,14/05/14,,Kepler-82 e
0.06576,This planet was discovered by Freudenthal et al. 2019. The parameters listed here are those reported by Freudenthal et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,0.339500,2019,Confirmed planets,0.001400,75.73200000,timing,19/07/25,62.0000,Kepler-82 f
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.296951370,transit,16/05/10,,Kepler-830 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.621539410,transit,16/05/10,,Kepler-831 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.139694100,transit,16/05/10,,Kepler-832 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,18.754699800,transit,16/05/10,,Kepler-833 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,13.323883010,transit,16/05/10,,Kepler-834 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.419093750,transit,16/05/10,,Kepler-835 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,11.361123270,transit,16/05/10,,Kepler-836 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,16.560595040,transit,16/05/10,,Kepler-837 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,15.749579940,transit,16/05/10,,Kepler-838 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,37.814451400,transit,16/05/10,,Kepler-839 b
,"Kepler-83 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-83 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,9.770469,transit,14/02/26,,Kepler-83 b
,"Kepler-83 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-83 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,5.169796,transit,14/02/26,,Kepler-83 d
,"Kepler-83 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-83 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,20.090227,transit,14/02/26,,Kepler-83 c
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.495779620,transit,16/05/10,,Kepler-840 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,124.419839800,transit,16/05/10,,Kepler-841 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,1.219568270,transit,16/05/10,,Kepler-842 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.053879820,transit,16/05/10,,Kepler-843 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.613020860,transit,16/05/10,,Kepler-844 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,0.927859820,transit,16/05/10,,Kepler-845 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,19.807921850,transit,16/05/10,,Kepler-846 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.343231900,transit,16/05/10,,Kepler-847 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,6.911344160,transit,16/05/10,,Kepler-848 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,394.624490400,transit,16/05/10,,Kepler-849 b
,"Kepler-84 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-84 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.725818,transit,14/02/26,,Kepler-84 b
,"Kepler-84 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-84 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,12.882779,transit,14/02/26,,Kepler-84 c
,"Kepler-84 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-84 e are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,27.434389,transit,14/02/26,,Kepler-84 e
,"Kepler-84 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-84 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,4.224537,transit,14/02/26,,Kepler-84 d
,"Kepler-84 f has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-84 f are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,44.552169,transit,14/02/26,,Kepler-84 f
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.193038780,transit,16/05/10,,Kepler-850 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.506996580,transit,16/05/10,,Kepler-851 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,44.930980400,transit,16/05/10,,Kepler-852 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.168924630,transit,16/05/10,,Kepler-853 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,2.144632850,transit,16/05/10,,Kepler-854 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,7.886631100,transit,16/05/10,,Kepler-855 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,8.027680590,transit,16/05/10,,Kepler-856 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,85.351294270,transit,16/05/10,,Kepler-857 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,76.136020280,transit,16/05/10,,Kepler-858 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,20.381775730,transit,16/05/10,,Kepler-859 b
,"Kepler-85 b has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-85 b are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,8.305738,transit,14/02/26,,Kepler-85 b
,"Kepler-85 c has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-85 c are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,12.512598,transit,14/02/26,,Kepler-85 c
,"Kepler-85 d has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-85 d are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,17.913230,transit,14/02/26,,Kepler-85 d
,"Kepler-85 e has been discovered by the Kepler spacecraft and was originally classified as a planet candidate. A new statistical analysis led by a team at NASA Ames Research Center has validated the planet with more than 99 percent confidence. Although many parameters of Kepler-85 e are still unknown, the object is highly unlikely to be a false positive.",,,2014,Confirmed planets,,25.216751,transit,14/02/26,,Kepler-85 e
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,5.101379450,transit,16/05/10,,Kepler-860 b
,"This planet was discovered by the NASA Kepler spacecraft and is part of the May 10th 2016 data release. Although not many details are known about this particular system yet, it has a very low probability of being a false positive.",,,2016,Confirmed planets,,3.949631380,transit,16/05/10,,Kepler-861 b
