temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
4590.00,11.130,0.78,K4V,8.922,0.72,,8.400,8.290,0.180,HIP 65 A,1.0
5675.00,9.802,1.22,G1V,8.587,1.38,,8.287,8.164,0.000,HIP 67522,1.0
4985.0,,2.41,K1III,,8.69,,,,0.15,HIP 67537,1.0
4805,6.17,1.30,K0III,4.48,5.87,7.21,3.810,3.751,-0.03,HIP 67851,2.0
5857.0,9.36,1.05,G3V,,,,,,0.065,HIP 68468,2.0
4105.0,10.36,0.63,K7V,7.639,,11.798,7.006,6.790,,HIP 70849,1.0
,,0.05,T4-T5,15.533,,,,12.415,,HIP 70849 B,0.0
4146.00,10.542,0.66,M1,8.039,,,7.397,7.242,,HIP 71135,1.0
4850.0,,1.74,K1III,,5.77,,,,0.2,HIP 74890,1.0
4445.0,3.31,1.4,K2 III,1.38,12.8,4.493,0.724,0.68,0.15,iota Draconis,1.0
10500,7.18,2.5,B9V,6.925,,7.27,6.931,6.900,,HIP 78530,1.0
,,2.5,B9V,,,,,,,HIP 79098 A,0.0
,,2.5,B9V,,,,,,,HIP 79098 B,0.0
3191.0,11.34,0.49,M3V,7.555,,12.88,6.855,6.589,0.4,HIP 79431,1.0
4670.0,,1.17,K2III,,7.83,,,,-0.15,HIP 8541,1.0
5519,8.65,0.95,G5V,7.310,1,9.45,6.996,6.893,0.23,HIP 91258,1.0
5020,7.34,1.93,K0,5.671,5.34,8.34,5.227,5.090,0.29,HIP 97233,1.0
5940.0,6,1,G0V,4.79,,6.53,4.60,4.56,,HN Peg,1.0
5794.00,6.300,1.07,G0V,5.212,1.53,,4.997,4.851,0.100,HR 5183,1.0
5997.0,5.4,1.11,G0V pecul.,4.75,1.85,5.97,4.32,4.138,0.25,HR 810,1.0
6201.00,6.400,1.15,F6V,5.473,1.31,,5.225,5.149,-0.140,HR 858,3.0
7193,5.953,1.516,kA5hF0mA5 V,5.383,1.44,6.21,5.280,5.240,-0.47,HR 8799,4.0
,,0.80,WD,,,,,,,HU Aqr A,0.0
,,0.18,M4V,,,,,,,HU Aqr B,0.0
28488,4.22,0.485,sdB+M,10.974,0.183,10.46,11.093,11.122,,HW Vir A,0.0
3084,15.59,0.142,sdB+M,,0.175,,,,,HW Vir B,0.0
,,0.01861844,,,,,,,,HW Vir (AB) C,0.0
5434.0,11.752,1.01,,10.541,0.95,12.683,10.173,10.091,0.26,K2-105,1.0
5474.0,12.3,1.121,,,1.75,,,,0.33,K2-108,1.0
,11.915,0.724,,10.184,0.692,12.834,9.641,9.607,-0.3,K2-110,1.0
,13.319,0.727,,11.309,0.686,14.391,10.742,10.616,-0.14,K2-121,1.0
,12.918,0.610,,10.508,0.589,14.154,9.917,9.712,-0.44,K2-126,1.0
,12.627,0.687,,10.491,0.651,13.749,9.965,9.815,-0.26,K2-128,1.0
,12.759,0.675,,10.562,0.644,13.955,9.989,9.858,-0.24,K2-130,1.0
,12.115,0.803,,10.570,0.765,13.054,10.122,10.051,-0.15,K2-131,1.0
3655.00,14.288,0.46,M1.5V,11.084,0.46,,10.487,10.279,,K2-133,4.0
4499,,0.74,K5V,9.11,0.66,,8.51,8.38,0.15,K2-136 A,3.0
,,0.1,M7/8V,14.1,0.1,,13.47,13.03,,K2-136 B,0.0
5378,12.21,0.93,K1V,10.756,0.86,13.01,10.384,10.305,0.16,K2-138,5.0
3385.00,16.248,0.33,M3.0V,12.183,0.33,,11.605,11.370,,K2-146,2.0
,13.424,0.642,,11.139,0.616,14.637,10.572,10.391,-0.33,K2-156,1.0
,12.823,0.940,,11.398,0.876,13.609,11.023,10.980,0.13,K2-157,1.0
,11.774,0.933,,10.432,0.892,12.336,10.051,9.974,0.07,K2-158,1.0
,11.994,0.886,,10.462,0.830,12.570,10.072,9.978,-0.1,K2-159,1.0
,12.649,0.983,,11.427,0.914,13.303,11.087,11.037,0.07,K2-160,1.0
,12.631,0.987,,10.852,2.57,13.582,10.352,10.261,-0.03,K2-161,1.0
,12.300,0.777,,10.517,0.726,13.310,9.904,9.898,-0.09,K2-162,1.0
,13.129,0.826,,11.310,0.762,14.128,10.765,10.627,0.14,K2-163,1.0
,11.235,1.181,,10.153,2.20,11.802,9.865,9.775,-0.23,K2-164,1.0
,11.331,0.835,,10.055,0.804,12.449,9.627,9.536,-0.05,K2-165,3.0
,12.074,1.073,,10.952,1.20,12.640,10.715,10.637,0.05,K2-166,1.0
,8.239,1.02,,7.202,1.83,8.769,6.974,6.887,-0.45,K2-167,1.0
5502.70,12.291,0.88,,10.957,0.83,,10.589,10.549,,K2-168,2.0
,12.229,0.986,,10.791,0.919,12.966,10.458,10.371,0.26,K2-169,1.0
,12.633,0.964,,11.445,0.98,13.274,11.144,11.075,-0.11,K2-170,2.0
,12.660,0.892,,11.101,1.72,13.525,10.614,10.529,-0.09,K2-171,1.0
,12.438,0.934,,11.098,0.869,13.229,10.760,10.661,-0.06,K2-172,2.0
,12.403,0.882,,10.778,0.843,13.252,10.386,10.299,-0.25,K2-173,1.0
,12.424,0.668,,10.231,0.639,13.658,9.649,9.496,-0.24,K2-174,1.0
,10.836,1.095,,9.563,1.42,11.504,9.280,9.195,0.05,K2-175,1.0
,12.893,0.939,,11.226,0.864,13.768,10.807,10.726,0.15,K2-176,1.0
,12.645,1.211,,11.009,1.214,13.541,10.675,10.593,0.41,K2-177,1.0
,12.403,0.951,,10.786,0.887,13.276,10.426,10.292,0.09,K2-178,1.0
,12.956,0.824,,11.138,0.768,13.984,10.633,10.555,0.03,K2-179,1.0
,12.601,0.730,,11.146,0.681,13.334,10.747,10.677,-0.59,K2-180,1.0
,12.749,1.044,,11.438,0.999,13.494,11.082,11.026,0.42,K2-181,1.0
,11.997,0.847,,10.408,0.790,12.868,9.994,9.913,-0.01,K2-182,1.0
,12.846,0.942,,11.485,0.873,13.632,11.152,11.021,0.09,K2-183,3.0
,10.345,0.819,,8.920,0.764,11.227,8.513,8.380,-0.22,K2-184,1.0
,12.215,0.976,,11.066,0.914,12.878,10.749,10.680,-0.05,K2-185,1.0
,12.307,1.019,,11.142,0.981,12.951,10.840,10.774,0.06,K2-186,1.0
,13.081,0.967,,11.687,0.895,13.871,11.289,11.196,0.26,K2-187,4.0
,12.646,1.107,,11.502,1.11,13.219,11.246,11.149,0.16,K2-188,2.0
,12.399,0.928,,11.038,0.862,13.015,10.701,10.589,-0.01,K2-189,2.0
,11.138,0.905,,9.834,0.912,11.777,9.447,9.410,-0.19,K2-190,2.0
,13.258,0.901,,11.608,0.840,14.176,11.177,11.077,0.31,K2-191,1.0
,12.704,0.873,,11.121,0.828,13.550,10.715,10.657,0.05,K2-192,1.0
,13.251,0.994,,11.934,0.957,14.037,11.579,11.479,0.21,K2-193,1.0
,12.908,1.110,,11.881,1.28,13.462,11.664,11.570,0.1,K2-194,1.0
,12.497,0.963,,11.248,0.906,13.132,10.904,10.876,-0.09,K2-195,2.0
,12.060,1.162,,10.950,1.54,12.635,10.686,10.617,0.01,K2-196,1.0
,12.157,0.975,,10.881,0.910,12.884,10.558,10.479,-0.01,K2-197,1.0
5212.90,10.971,0.80,,9.741,0.76,,9.313,9.228,,K2-198,3.0
,12.289,0.706,,10.277,0.667,13.323,9.726,9.625,-0.23,K2-199,2.0
,12.459,0.860,,10.877,0.792,13.380,10.460,10.375,-0.04,K2-200,1.0
,12.809,0.956,,10.653,0.878,13.061,10.273,10.198,0.13,K2-201,2.0
,13.297,0.971,,11.547,0.911,14.206,11.144,11.046,0.27,K2-202,1.0
,12.353,0.794,,10.773,0.763,13.272,10.281,10.206,-0.07,K2-203,1.0
,13.010,1.009,,11.839,1.18,13.643,11.569,11.478,0.07,K2-204,1.0
,12.391,0.951,,11.235,1.08,12.994,10.933,10.879,-0.26,K2-205,1.0
,13.100,0.789,,11.439,0.758,13.957,10.991,10.918,-0.14,K2-206,1.0
,13.166,0.942,,11.780,0.928,13.906,11.456,11.383,0.11,K2-207,1.0
,12.503,0.925,,11.164,0.862,13.241,10.824,10.746,-0.11,K2-208,1.0
,11.205,0.745,,9.263,0.712,12.050,8.774,8.613,-0.06,K2-209,1.0
,11.535,0.912,,10.354,0.852,12.882,9.995,9.915,0.05,K2-210,1.0
,13.075,0.882,,11.624,0.816,14.028,11.205,11.104,0.11,K2-211,1.0
,13.100,0.622,,10.629,0.598,14.401,10.015,9.856,-0.33,K2-212,1.0
,11.803,1.070,,11.034,1.20,12.721,10.729,10.656,0.25,K2-213,1.0
,11.805,1.022,,10.576,1.12,12.146,10.217,10.223,0.12,K2-214,1.0
,12.986,1.000,,11.679,0.974,13.721,11.405,11.298,0.11,K2-215,1.0
,12.476,0.699,,10.394,0.666,13.563,9.856,9.721,-0.18,K2-216,1.0
,12.187,1.103,,11.009,1.33,12.813,10.747,10.679,0.04,K2-217,1.0
,12.876,1.047,,11.563,1.008,13.601,11.267,11.206,0.25,K2-218,1.0
,12.090,1.022,,10.849,1.19,12.837,10.509,10.424,0.13,K2-219,3.0
,11.890,0.960,,10.582,0.930,12.656,10.230,10.161,0.06,K2-220,1.0
,12.703,1.011,,11.229,0.948,13.343,10.884,10.852,0.13,K2-221,1.0
,9.543,0.950,,8.423,1.04,10.038,8.169,8.105,-0.3,K2-222,1.0
,11.431,1.067,,10.177,1.013,12.132,9.946,9.835,0.19,K2-223,2.0
,12.682,0.902,,11.352,0.840,13.357,11.029,10.940,-0.22,K2-224,1.0
,11.836,1.115,,10.362,1.21,12.265,10.046,9.954,0.47,K2-225,1.0
,12.308,0.886,,10.697,0.824,13.194,10.307,10.223,-0.08,K2-226,1.0
,12.015,0.951,,10.393,0.891,12.674,10.055,10.005,-0.1,K2-227,1.0
,12.995,0.742,,10.978,0.699,14.112,10.439,10.324,-0.13,K2-228,1.0
,10.985,0.858,,9.518,0.802,12.048,9.126,9.050,-0.03,K2-229,2.0
,12.707,1.131,,11.575,1.18,13.298,11.322,11.257,0.21,K2-230,1.0
5695,12.708,1.01,,11.294,0.95,13.500,11.004,10.859,0.14,K2-231,1.0
4285.00,11.808,0.69,,9.611,0.70,,9.041,8.897,-0.120,K2-266,4.0
3785,14.53,0.56,M1.0V,11.350,0.52,15.97,10.762,10.530,-0.13,K2-26,1.0
5532.00,13.357,0.96,,11.959,0.95,,11.565,11.544,0.218,K2-293,1.0
6100.00,14.963,1.09,,13.657,1.24,,13.346,13.206,-0.100,K2-308,1.0
5581.0,13.53,0.984,G8,,0.941,,,,0.136,K2-30,1.0
6132.0,11.447,1.281,F9,10.528,1.526,12.018,10.258,10.193,0.24,K2-34,1.0
4916.00,11.800,0.79,K2V,10.034,0.72,,9.549,9.454,-0.090,K2-36,2.0
4881.0,10.872,1.53,,,3.88,11.915,,,0.32,K2-39,1.0
3896.00,12.170,0.60,M0.0&plusmn;0.5V,9.421,0.56,,8.805,8.561,-0.320,K2-3,3.0
,12.914,1.068,,11.110,1.040,12.959,10.799,10.764,0.31,K2-41,1.0
3840.60,15.596,0.57,,12.422,0.54,,11.712,11.577,,K2-43,2.0
,12.378,0.858,,10.765,0.803,13.317,10.314,10.215,0.11,K2-58,3.0
5500.0,12.79,0.97,G4V,,1.12,,,,0.01,K2-60,1.0
,12.991,1.030,,11.758,1.02,13.689,11.423,11.385,0.17,K2-61,1.0
,12.397,0.684,,10.374,0.648,13.505,9.811,9.688,-0.29,K2-62,2.0
6771.00,12.876,1.40,,11.606,1.63,,11.320,11.274,,K2-63,2.0
,10.801,0.702,,8.967,0.669,11.595,8.457,8.344,-0.34,K2-65,1.0
5887.00,11.710,1.11,,10.948,1.67,,10.664,10.609,-0.047,K2-66,1.0
,12.977,0.751,,11.139,0.702,13.965,10.651,10.530,-0.21,K2-68,1.0
,12.989,0.848,,11.355,0.799,13.915,10.935,10.853,0.06,K2-70,1.0
,11.345,1.043,,10.695,1.05,12.431,10.382,10.322,0.09,K2-73,1.0
,12.588,0.987,,11.427,1.09,13.139,11.177,11.068,-0.21,K2-74,1.0
,12.701,1.174,,11.564,1.24,13.346,11.283,11.178,0.3,K2-75,2.0
,12.075,1.062,,10.358,1.038,12.893,9.998,9.907,0.2,K2-79,1.0
,12.626,0.913,,10.874,0.841,13.610,10.425,10.313,0.07,K2-80,3.0
,12.831,0.678,,10.229,0.647,13.804,9.613,9.466,-0.14,K2-85,1.0
,13.167,0.757,,11.440,0.722,13.814,11.003,10.927,-0.35,K2-86,1.0
,8.941,0.890,,7.548,0.837,9.767,7.203,7.066,-0.01,K2-96,2.0
,12.79,1.16,,,4.2,,,,0.42,K2-97,1.0
11327,4.14,2.768,B9IVn,4.624,2.109,4.076,4.595,4.571,0.00,Kappa Andromedae,1.0
4877,4.79,1.51,K0III-IV,3.035,4.71,5.81,2.575,2.423,0.10,kappa CrB,1.0
3550.0,8.853,0.281,M1VIp,5.821,0.291,10.433,5.316,5.049,-0.86,Kapteyn,2.0
5948,10.62,1.112,,9.693,1.209,11.34,9.388,9.338,0.09,KELT-10,1.0
5370.0,8.04,1.438,G8,,2.72,,,,0.18,KELT-11,1.0
6278.0,10.59,1.592,,,2.37,,,,0.19,KELT-12,1.0
6003,11.745,1.181,G0,10.205,1.481,11.189,9.919,9.854,0.047,KELT-15,1.0
6236.0,11.72,1.211,F7V,,1.36,,,,-0.002,KELT-16,1.0
7454,9.286,1.635,,8.745,1.645,9.553,8.697,8.646,-0.018,KELT-17,1.0
6670.0,10.16,1.524,F4V,,1.908,10.62,,,0.09,KELT-18,1.0
7500,9.885,1.62,A8 V,9.343,1.830,10.201,9.237,9.196,-0.12,KELT-19 A,1.0
,,,,,,,,,,KELT-19 B,0.0
7598,10.48,1.458,A8 V,10.149,1.638,10.76,10.121,10.090,-0.405,KELT-21,1.0
5899,10.253,0.944,G2 V,9.208,0.996,10.973,,,-0.105,KELT-23 A,1.0
,,,,,,,,,,KELT-23 B,0.0
6509.00,8.332,1.46,F5,7.408,1.51,,7.200,7.154,0.186,KELT-24,1.0
6148,8.77,1.314,F7V,7.669,1.836,9.33,7.417,7.346,-0.034,KELT-2A,1.0
485,12.0,0.78,K2V,,0.70,,,,,KELT-2B,0.0
6304,9.82,1.282,F2,8.963,1.482,10.30,8.728,8.662,0.047,KELT-3,1.0
6206,9.98,1.201,F,9.017,1.610,10.47,8.790,8.689,-0.116,KELT-4A,1.0
,,,,,,,,,,KELT-4B,0.0
,,,,,,,,,,KELT-4C,0.0
6272,10.337,1.126,F8,9.30,1.529,10.81,9.137,9.08,-0.27,KELT-6,2.0
6789,8.540,1.535,F2,7.739,1.732,8.970,7.580,7.543,0.139,KELT-7,1.0
5754,10.833,1.211,G2V,9.586,1.67,11.545,9.269,9.177,0.272,KELT-8,1.0
6453.0,,1.40,,,1.51,,,,0.35,Kepler-1000,1.0
5491.0,,0.90,,,0.88,,,,-0.03,Kepler-1001,1.0
6144.0,,1.22,,,1.57,,,,0.04,Kepler-1002,1.0
6109.0,,1.11,,,1.17,,,,0.01,Kepler-1003,1.0
5782.0,,1.00,,,1.06,,,,0.02,Kepler-1005,1.0
5328.0,,0.78,,,0.74,,,,-0.40,Kepler-1006,1.0
4587.0,,0.73,,,0.70,,,,0.03,Kepler-1007,1.0
5066.0,,0.81,,,0.78,,,,-0.01,Kepler-1008,1.0
4027.0,,0.59,,,0.57,,,,-0.12,Kepler-1009,1.0
5825,11.06,1.08,,10.081,1.49,11.86,9.804,9.768,0.02,Kepler-100,3.0
5253.0,,0.86,,,0.82,,,,-0.01,Kepler-1010,1.0
5416.0,,0.91,,,0.88,,,,0.08,Kepler-1011,1.0
5556.0,,0.95,,,0.91,,,,0.05,Kepler-1012,1.0
4954.0,,0.81,,,0.76,,,,0.04,Kepler-1013,1.0
5388.0,,0.88,,,0.84,,,,-0.06,Kepler-1014,1.0
6769.0,,1.49,,,1.81,,,,0.06,Kepler-1015,1.0
5821.0,,0.99,,,1.00,,,,-0.03,Kepler-1016,2.0
5473.0,,0.93,,,0.87,,,,0.04,Kepler-1017,1.0
5518.0,,0.91,,,0.88,,,,-0.05,Kepler-1018,1.0
4433.0,,0.70,,,0.67,,,,0.01,Kepler-1019,1.0
5667,13.80,1.17,G3IV,12.40,1.56,14.52,12.112,12.01,,Kepler-101,2.0
5227.0,,0.87,,,0.80,,,,0.00,Kepler-1020,1.0
5431.0,,0.89,,,0.86,,,,-0.05,Kepler-1021,1.0
4445.0,,0.71,,,0.68,,,,0.06,Kepler-1022,1.0
5494.0,,0.93,,,0.89,,,,0.05,Kepler-1023,1.0
5143.0,,0.81,,,0.78,,,,-0.10,Kepler-1024,1.0
6089.0,,1.09,,,1.13,,,,-0.03,Kepler-1025,1.0
4948.0,,0.79,,,0.75,,,,-0.02,Kepler-1026,1.0
5436.0,,0.91,,,0.82,,,,-0.06,Kepler-1027,1.0
5522.0,,0.90,,,0.87,,,,-0.09,Kepler-1028,1.0
5030.0,,0.82,,,0.77,,,,0.01,Kepler-1029,1.0
4903,12.07,0.80,,9.984,0.74,12.58,9.446,9.351,0.08,Kepler-102,5.0
4983.0,,0.80,,,0.76,,,,-0.01,Kepler-1030,1.0
6011.0,,1.09,,,1.12,,,,0.03,Kepler-1031,1.0
4647.0,,0.77,,,0.71,,,,0.16,Kepler-1032,1.0
5547.0,,0.94,,,0.92,,,,0.06,Kepler-1033,1.0
5198.0,,0.83,,,0.80,,,,-0.06,Kepler-1034,1.0
5763.0,,0.98,,,0.97,,,,-0.03,Kepler-1035,1.0
5533.0,,0.95,,,0.89,,,,0.04,Kepler-1036,1.0
5105.0,,0.82,,,0.78,,,,-0.03,Kepler-1037,1.0
5335.0,,0.87,,,0.83,,,,-0.04,Kepler-1038,1.0
4870.0,,0.79,,,0.74,,,,0.01,Kepler-1039,1.0
5845,11.88,1.09,,11.193,1.44,12.68,10.941,10.873,0.07,Kepler-103,2.0
5694.0,,0.98,,,0.96,,,,0.01,Kepler-1040,1.0
5957.0,,1.06,,,1.08,,,,0.01,Kepler-1041,1.0
4815.0,,0.75,,,0.72,,,,-0.10,Kepler-1042,1.0
5629.0,,0.92,,,0.90,,,,-0.11,Kepler-1043,1.0
5985.0,,1.08,,,1.11,,,,0.04,Kepler-1044,1.0
5301.0,,0.86,,,0.82,,,,-0.03,Kepler-1045,1.0
5913.0,,1.04,,,1.04,,,,0.00,Kepler-1046,1.0
5754.0,,1.08,,,1.13,,,,0.29,Kepler-1047,2.0
4651.0,,0.75,,,0.70,,,,0.01,Kepler-1048,1.0
3864.0,,0.51,,,0.49,,,,-0.33,Kepler-1049,1.0
5711,,0.8070,,11.558,1.349,,11.251,11.209,,Kepler-104,3.0
6010.0,,1.09,,,1.13,,,,0.03,Kepler-1050,2.0
6675.0,,1.43,,,1.73,,,,0.04,Kepler-1051,1.0
5888.0,,1.03,,,1.03,,,,0.00,Kepler-1052,1.0
4529.0,,0.74,,,0.69,,,,0.10,Kepler-1053,1.0
6209.0,,1.22,,,1.34,,,,0.09,Kepler-1054,1.0
5723.0,,0.98,,,0.94,,,,-0.02,Kepler-1055,1.0
6127.0,,1.12,,,1.20,,,,0.02,Kepler-1056,1.0
5987.0,,1.07,,,1.10,,,,0.01,Kepler-1057,1.0
4644.0,,0.73,,,0.69,,,,-0.06,Kepler-1058,1.0
4906.0,,0.75,,,0.72,,,,-0.15,Kepler-1059,1.0
5873,,1.1800,,11.811,1.160,,11.555,11.503,,Kepler-105,3.0
5797.0,,0.99,,,0.99,,,,-0.03,Kepler-1060,1.0
6067.0,,1.09,,,1.07,,,,-0.03,Kepler-1061,1.0
4597.0,,0.75,,,0.70,,,,0.11,Kepler-1062,1.0
5945.0,,1.09,,,1.14,,,,0.09,Kepler-1063,1.0
5153.0,,0.85,,,0.79,,,,0.00,Kepler-1064,1.0
5635.0,,0.94,,,0.93,,,,-0.01,Kepler-1065,2.0
5762.0,,0.98,,,0.98,,,,-0.03,Kepler-1066,1.0
5592.0,,0.95,,,0.93,,,,0.03,Kepler-1067,1.0
5806.0,,1.01,,,1.01,,,,0.03,Kepler-1068,1.0
5722.0,,0.99,,,0.98,,,,0.04,Kepler-1069,1.0
5858,12.98,1.00,,11.752,1.04,13.68,11.494,11.431,-0.12,Kepler-106,4.0
6261.0,,1.21,,,1.32,,,,0.03,Kepler-1070,1.0
5215.0,,0.86,,,0.81,,,,0.01,Kepler-1071,1.0
6199.0,,1.20,,,1.32,,,,0.07,Kepler-1072,1.0
5792.0,,1.00,,,1.00,,,,0.00,Kepler-1073,2.0
4002.0,,0.60,,,0.57,,,,-0.06,Kepler-1074,1.0
3959.0,,0.56,,,0.54,,,,-0.17,Kepler-1075,1.0
4868.0,,0.79,,,0.74,,,,-0.01,Kepler-1076,1.0
5816.0,,1.02,,,1.02,,,,0.03,Kepler-1077,1.0
5612.0,,0.94,,,0.92,,,,-0.01,Kepler-1078,1.0
5758.0,,1.08,,,1.36,,,,0.21,Kepler-1079,1.0
5851,,1.1830,,11.392,1.411,,11.114,11.060,0.27,Kepler-107,4.0
5956.0,,1.10,,,1.16,,,,0.09,Kepler-1080,1.0
5345.0,,0.88,,,0.84,,,,0.01,Kepler-1081,1.0
5923.0,,1.03,,,1.14,,,,-0.06,Kepler-1082,1.0
5049.0,,0.81,,,0.77,,,,-0.02,Kepler-1083,1.0
6113.0,,1.12,,,1.28,,,,-0.02,Kepler-1084,1.0
6000.0,,1.11,,,1.14,,,,0.08,Kepler-1085,1.0
4350.0,,0.70,,,0.66,,,,0.06,Kepler-1086,2.0
5589.0,,0.96,,,0.94,,,,0.01,Kepler-1087,1.0
5975.0,,1.08,,,1.08,,,,0.05,Kepler-1088,1.0
3753.0,,0.52,,,0.49,,,,-0.09,Kepler-1089,1.0
,,1.26,,12.087,1.45,,,11.640,,Kepler-108 A,0.0
,,0.96,,12.287,0.97,,,11.840,,Kepler-108 B,2.0
5321.0,,0.86,,,0.82,,,,-0.04,Kepler-1090,1.0
5851.0,,1.01,,,1.03,,,,0.00,Kepler-1091,1.0
5862.0,,0.99,,,1.00,,,,-0.09,Kepler-1092,1.0
6166.0,,1.13,,,1.20,,,,-0.01,Kepler-1093,2.0
6112.0,,1.14,,,1.21,,,,0.06,Kepler-1094,1.0
5658.0,,0.94,,,0.92,,,,-0.09,Kepler-1095,1.0
4306.0,,0.66,,,0.63,,,,-0.10,Kepler-1096,1.0
5211.0,,0.82,,,0.79,,,,-0.11,Kepler-1097,1.0
5794.0,,0.99,,,0.99,,,,-0.02,Kepler-1098,1.0
5837.0,,1.01,,,1.00,,,,-0.02,Kepler-1099,1.0
5952,12.93,1.04,,11.314,1.32,12.82,11.046,11.001,-0.08,Kepler-109,2.0
5643,10.96,0.91,G,9.889,1.065,,9.563,9.496,-0.15,Kepler-10,3.0
6247.0,,1.21,,,1.34,,,,0.05,Kepler-1100,1.0
5614.0,,0.94,,,0.91,,,,-0.04,Kepler-1101,1.0
5724.0,,0.96,,,0.94,,,,-0.08,Kepler-1102,1.0
6092.0,,1.11,,,1.15,,,,-0.01,Kepler-1103,1.0
6417.0,,1.30,,,1.41,,,,0.13,Kepler-1104,1.0
4299.0,,0.71,,,0.68,,,,0.28,Kepler-1105,1.0
6104.0,,1.11,,,1.17,,,,0.00,Kepler-1106,1.0
5268.0,,0.86,,,0.82,,,,0.01,Kepler-1107,1.0
5406.0,,0.88,,,0.84,,,,-0.09,Kepler-1108,1.0
5893.0,,1.05,,,1.06,,,,0.04,Kepler-1109,1.0
5960,,1.0670,,11.919,1.149,,11.658,11.623,,Kepler-110,2.0
4781.0,,0.73,,,0.70,,,,-0.16,Kepler-1110,1.0
6077.0,,1.10,,,1.15,,,,0.02,Kepler-1111,1.0
6496.0,,1.34,,,1.54,,,,0.04,Kepler-1112,1.0
5931.0,,1.12,,,1.17,,,,0.18,Kepler-1113,1.0
5374.0,,0.87,,,0.83,,,,-0.08,Kepler-1114,1.0
8480.0,,1.60,,,1.73,,,,-0.51,Kepler-1115,1.0
5641.0,,0.95,,,0.93,,,,0.01,Kepler-1116,1.0
5612.0,,0.95,,,0.93,,,,0.03,Kepler-1117,1.0
5688.0,,0.96,,,0.97,,,,0.00,Kepler-1118,1.0
6083.0,,1.11,,,1.17,,,,0.03,Kepler-1119,1.0
5952,,1.1710,,12.412,1.157,,12.111,12.110,,Kepler-111,2.0
4904.0,,0.78,,,0.74,,,,-0.04,Kepler-1120,1.0
6231.0,,1.29,,,1.59,,,,0.12,Kepler-1121,1.0
5544.0,,0.92,,,0.89,,,,-0.03,Kepler-1122,1.0
5500.0,,0.93,,,0.90,,,,0.05,Kepler-1123,1.0
3658.0,,0.35,,,0.34,,,,-0.59,Kepler-1124,1.0
5683.0,,0.95,,,0.94,,,,-0.09,Kepler-1125,1.0
5798.0,,0.92,,,0.93,,,,-0.26,Kepler-1126,1.0
5664.0,,0.97,,,0.95,,,,0.04,Kepler-1127,1.0
5543.0,,0.94,,,0.91,,,,0.04,Kepler-1128,1.0
5831.0,,1.00,,,1.00,,,,-0.04,Kepler-1129,2.0
5544,,0.9460,,12.583,0.841,,12.226,12.155,,Kepler-112,2.0
5403.0,,0.90,,,0.81,,,,-0.06,Kepler-1130,1.0
5851.0,,1.03,,,1.04,,,,0.05,Kepler-1131,1.0
5298.0,,0.87,,,0.83,,,,-0.01,Kepler-1132,1.0
5569.0,,0.93,,,0.90,,,,-0.02,Kepler-1133,1.0
5281.0,,0.84,,,0.81,,,,-0.10,Kepler-1134,1.0
5656.0,,0.96,,,0.94,,,,0.02,Kepler-1135,1.0
4512.0,,0.72,,,0.68,,,,0.03,Kepler-1136,1.0
6807.0,,1.50,,,1.84,,,,0.05,Kepler-1137,1.0
5582.0,,0.95,,,0.92,,,,0.04,Kepler-1138,1.0
5550.0,,0.94,,,0.91,,,,0.05,Kepler-1139,1.0
4725,,0.75,,11.886,0.69,,11.36,11.255,0.05,Kepler-113,2.0
4850.0,,0.76,,,0.73,,,,-0.08,Kepler-1140,1.0
5791.0,,1.01,,,1.07,,,,0.04,Kepler-1141,1.0
5685.0,,0.97,,,0.96,,,,0.02,Kepler-1142,1.0
5053.0,,0.81,,,0.77,,,,-0.06,Kepler-1143,2.0
5753.0,,0.98,,,0.96,,,,-0.03,Kepler-1144,1.0
5064.0,,0.79,,,0.75,,,,-0.13,Kepler-1145,1.0
4692.0,,0.74,,,0.70,,,,-0.06,Kepler-1146,1.0
5941.0,,1.09,,,1.14,,,,0.11,Kepler-1147,1.0
5054.0,,0.81,,,0.77,,,,-0.02,Kepler-1148,1.0
5833.0,,1.02,,,1.01,,,,0.02,Kepler-1149,1.0
4605,,0.7090,,12.035,0.667,,11.469,11.366,,Kepler-114,3.0
4754.0,,0.76,,,0.72,,,,0.01,Kepler-1150,1.0
5470.0,,0.88,,,0.85,,,,-0.11,Kepler-1151,1.0
3964.0,,0.55,,,0.53,,,,-0.25,Kepler-1152,1.0
5470.0,,0.91,,,0.88,,,,0.03,Kepler-1153,1.0
6327.0,,1.26,,,1.43,,,,0.04,Kepler-1154,2.0
5842.0,,1.03,,,1.03,,,,0.04,Kepler-1155,1.0
5778.0,,1.00,,,1.00,,,,0.02,Kepler-1156,1.0
4679.0,,0.76,,,0.71,,,,0.05,Kepler-1157,1.0
6203.0,,1.41,,,1.95,,,,0.18,Kepler-1158,1.0
6217.0,,1.19,,,1.28,,,,0.04,Kepler-1159,1.0
5979,,1.0400,,12.315,1.205,,12.028,11.970,,Kepler-115,2.0
5519.0,,0.92,,,0.89,,,,0.01,Kepler-1160,1.0
4253.0,,0.59,,,0.57,,,,-0.35,Kepler-1161,1.0
5390.0,,0.89,,,0.84,,,,-0.03,Kepler-1162,1.0
6302.0,,1.22,,,1.35,,,,0.02,Kepler-1163,1.0
5183.0,,0.85,,,0.79,,,,-0.03,Kepler-1164,1.0
